SIRET;Nom du compte;Site Scrapping;DNS;Mail Server1;Mail Server2;Mail Server3;Mail Server4;Mail Server5;Mail Server6;Mail Server7;Mail Server8;Mail Server9
60450049600459;BBA EMBALLAGES;bbaemballages.com;NON DEFINI;antispam.tini.digital (priorité 5);;;;;;;;
48708037600121;LOIRE OCEAN MANUTENTION;fenwick-linde.fr;OUI;fenwicklinde-fr01i.mail.protection.outlook.com (priorité 0);;;;;;;;
60202249300434;XYLEM WATER SOLUTIONS FRANCE SAS;xylem.com;NON DEFINI;mxa-003d2901.gslb.pphosted.com (priorité 10);mxb-003d2901.gslb.pphosted.com (priorité 10);;;;;;;
41035343700016;LEROUX ET LOTZ TECHNOLOGIES;lerouxlotz.com;OUI;lerouxlotz-com.mail.protection.outlook.com (priorité 10);;;;;;;;
38921264800023;OMR IMPRESSION;aucun site;aucun site;;;;;;;;;
35132272200171;RISO FRANCE SA;risofrance.fr;OUI;risofrance-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
42493298600039;ACB;aucun site;aucun site;;;;;;;;;
40868939600047;ATELIERS NANTAIS DE MAROQUINERIE;aucun site;aucun site;;;;;;;;;
40857035600027;HILDING ANDERS BRETAGNE;aucun site;aucun site;;;;;;;;;
31909964400068;AGREOM;bpmagri.fr;NON DEFINI;;;;;;;;;
30887794300776;GAMM VERT SYNERGIES OUEST;gammvert.fr;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
31909964400043;AGREOM;bpmagri.fr;NON DEFINI;;;;;;;;;
40303581900255;ESPACE  TERRENA;aucun site;aucun site;;;;;;;;;
64202434300047;CORNING POUYET;corning.com;OUI;corning-com.mail.protection.outlook.com (priorité 10);;;;;;;;
45101205800082;MANUFACTURE APPAREILLAGE ELECT CAHORS;aucun site;aucun site;;;;;;;;;
57675021000899;SONEPAR OUEST;sonepar.fr;NON DEFINI;de-smtp-inbound-1.mimecast.com (priorité 9);de-smtp-inbound-2.mimecast.com (priorité 9);;;;;;;
67568045800295;SAREL APPAREILLAGE ELECTRIQUE;se.com;NON DEFINI;de-smtp-inbound-1.mimecast.com (priorité 10);de-smtp-inbound-2.mimecast.com (priorité 10);;;;;;;
85880093100090;POLYSOUDE;polysoude.com;OUI;polysoude-com.mail.protection.outlook.com (priorité 10);;;;;;;;
57675021000618;SONEPAR OUEST;sonepar.fr;NON DEFINI;de-smtp-inbound-1.mimecast.com (priorité 9);de-smtp-inbound-2.mimecast.com (priorité 9);;;;;;;
38129231700744;FLUICONNECTO SAS;aucun site;aucun site;;;;;;;;;
38129231700702;FLUICONNECTO SAS;fluiconnecto.fr;OUI;fluiconnecto-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
38129231701122;FLUICONNECTO SAS;fluiconnecto.com;OUI;fluiconnecto-com.mail.protection.outlook.com (priorité 10);;;;;;;;
35009370400509;VIDELIO IEC;videlio.com;OUI;videlio-com.mail.protection.outlook.com (priorité 10);;;;;;;;
65980439700027;RADIO FREQUENCY SYSTEMS FRANCE;aucun site;aucun site;;;;;;;;;
57207583600427;CHAUVIN ARNOUX;chauvin-arnoux.com;NON DEFINI;mail.chauvin-arnoux.com (priorité 5);;;;;;;;
32765763100351;HOWDEN SOLYVENT-VENTEC;aucun site;aucun site;;;;;;;;;
37800602700031;FRANCE AIR;france-air.com;OUI;franceair-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
54207935500104;LA BOVIDA SA;aucun site;aucun site;;;;;;;;;
37818678700503;HORIS;horis-services.fr;OUI;Horisservices-fr01c.mail.protection.outlook.com (priorité 0);;;;;;;;
35163000900063;RETIF;aucun site;aucun site;;;;;;;;;
77556029500187;ALLIOS;aucun site;aucun site;;;;;;;;;
77556029500138;ALLIOS;jefco.fr;OUI;jefco-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
34265435700017;DUQUEINE ATLANTIQUE;duqueine.fr;NON DEFINI;mx-mibc-fr-10.mailinblack.com (priorité 5);;;;;;;;
71203040200275;SOCIETE DE CONFECTION BALSAN;marcketbalsan.fr;NON DEFINI;d324694.b.ess.de.barracudanetworks.com (priorité 10);d324694.a.ess.de.barracudanetworks.com (priorité 1);;;;;;;
30725830100687;LACOSTE FRANCE;aucun site;aucun site;;;;;;;;;
34082112300031;GALLIANCE LE BIGNON;galliance.fr;OUI;galliance-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
49738098000423;ARGEL OUEST;aucun site;aucun site;;;;;;;;;
30166969300014;REGALS DE BREATGNE;aucun site;aucun site;;;;;;;;;
39792920900021;VISOTEC ARLUX;visotec.com;NON DEFINI;mx-socha.ogicom.pl (priorité 10);;;;;;;;
32130268900013;CHRISTEYNS FRANCE;christeyns.com;OUI;christeyns-com.mail.protection.outlook.com (priorité 10);;;;;;;;
43141029900322;PRO-DUO FRANCE;pro-duo.fr;NON;mxb-001e6701.gslb.pphosted.com (priorité 10);mx.fr.oleane.com (priorité 10);mxa-001e6701.gslb.pphosted.com (priorité 10);smtp.staging.pro-duo.fr (priorité 10);;;;;
34373826600646;HAPPY CURL;laboutiqueducoiffeur.com;OUI;laboutiqueducoiffeur-com.mail.protection.outlook.com (priorité 0);;;;;;;;
43141029900124;PRO-DUO FRANCE;pro-duo.fr;NON;mxb-001e6701.gslb.pphosted.com (priorité 10);mx.fr.oleane.com (priorité 10);mxa-001e6701.gslb.pphosted.com (priorité 10);smtp.staging.pro-duo.fr (priorité 10);;;;;
55050269400494;COIFFIDIS;coiffidis.fr;OUI;coiffidis-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
34373826600570;HAPPY CURL;aucun site;aucun site;;;;;;;;;
38065643900029;LAITA;laita.com;NON DEFINI;mxa-00500f02.gslb.pphosted.com (priorité 10);mxb-00500f02.gslb.pphosted.com (priorité 10);;;;;;;
86480012300084;CHARIER TP SUD;aucun site;aucun site;;;;;;;;;
86480012300076;CHARIER TP SUD;aucun site;aucun site;;;;;;;;;
37936946500313;AIR LIQUIDE SANTE FRANCE;airliquide.com;NON DEFINI;aspmx3.googlemail.com (priorité 10);alt2.aspmx.l.google.com (priorité 5);aspmx.l.google.com (priorité 2);alt1.aspmx.l.google.com (priorité 5);aspmx2.googlemail.com (priorité 10);;;;
38279486500057;LACHETEAU;aucun site;aucun site;;;;;;;;;
32296924700327;FRANCE BOISSONS LOIRE SUD-OUEST;aucun site;aucun site;;;;;;;;;
32651971700010;JANNEAU MENUISERIES;groupe-janneau.com;NON DEFINI;mx3.mail.ovh.net (priorité 10);mx4.mail.ovh.net (priorité 1);;;;;;;
41478298700013;ALTOR INDUSTRIE;aucun site;aucun site;;;;;;;;;
50454610200071;B'PLAST INDUSTRIE;aucun site;aucun site;;;;;;;;;
50454610200147;B'PLAST INDUSTRIE;aucun site;aucun site;;;;;;;;;
33788464700039;ATLANTIQUE  OUVERTURES;atlantiqueouvertures.com;OUI;atlantiqueouvertures-com.mail.protection.outlook.com (priorité 0);;;;;;;;
32651971700044;JANNEAU MENUISERIES;janneau.com;NON DEFINI;janneau-com-2.fortimailcloud.com (priorité 20);janneau-com-1.fortimailcloud.com (priorité 10);;;;;;;
31190131800098;ARBAN SARL;aucun site;aucun site;;;;;;;;;
54208795200082;STOROPACK FRANCE;storopack.fr;NON DEFINI;;;;;;;;;
78594108900019;PROMOPLAST SOCIETE CASTELBRIANTAISE DES PLASTIQUES;aucun site;aucun site;;;;;;;;;
35406351300015;SOCIETE GENERALE DES TECHNIQUES;sgt-pet.com;NON DEFINI;mx2.ovh.net (priorité 5);mx1.ovh.net (priorité 1);mxb.ovh.net (priorité 100);;;;;;
33269090800071;BOBCAT FRANCE;bobcat.com;NON DEFINI;mx1.hc644-4.ap.iphmx.com (priorité 1);mx2.hc644-4.ap.iphmx.com (priorité 5);;;;;;;
86580095700017;SAH LEDUC;aucun site;aucun site;;;;;;;;;
33269090800089;BOBCAT FRANCE;bobcat.com;NON DEFINI;mx1.hc644-4.ap.iphmx.com (priorité 1);mx2.hc644-4.ap.iphmx.com (priorité 5);;;;;;;
40326445000038;SARVAL OUEST;aucun site;aucun site;;;;;;;;;
62205031800097;IMPRESSION ENREGISTRE RESULTAT;aucun site;aucun site;;;;;;;;;
38818506800102;MISMO;mismo.fr;NON DEFINI;vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);;;;;
37856393600137;ILIANE;oci.fr;OUI;oci-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
79329316800126;OXXO EVOLUTION;aucun site;aucun site;;;;;;;;;
39054181100043;MENUISERIE ET CHARPENTE ORVALTAISE;aucun site;aucun site;;;;;;;;;
44045231600522;GUERIN JOAILLERIE;aucun site;aucun site;;;;;;;;;
39897641500263;SARL SEBB;aucun site;aucun site;;;;;;;;;
40232759700421;MATY;maty.com;OUI;maty-com.mail.protection.outlook.com (priorité 0);;;;;;;;
39897641500255;SARL SEBB;bijouterie-carador.com;NON DEFINI;mx01.cloud.vadesecure.com (priorité 10);mx02.cloud.vadesecure.com (priorité 10);mx03.cloud.vadesecure.com (priorité 10);mx04.cloud.vadesecure.com (priorité 10);;;;;
86680121000034;FONDERIE MECANIQUE GEN CASTELBRIANTAISE;farinia.com;OUI;farinia-com.mail.protection.outlook.com (priorité 0);;;;;;;;
32159164600484;CLPS L ENJEU DES COMPETENCES;clps.net;OUI;clps-net.mail.protection.outlook.com (priorité 5);;;;;;;;
34290125300258;CNPP ENTREPRISE;cnpp.com;OUI;cnpp-com.mail.protection.outlook.com (priorité 1);;;;;;;;
34270750200551;CESI SAS;cesi.fr;OUI;cesi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
58206466300583;BERLITZ FRANCE;berlitz.com;NON DEFINI;de-smtp-inbound-1.mimecast.com (priorité 10);de-smtp-inbound-2.mimecast.com (priorité 10);;;;;;;
72203027700171;DEMOS;demos.fr;OUI;demos-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
34270750200296;CESI SAS;cesi.fr;OUI;cesi-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
42072056700197;IDRAC SOCIETE A RESPONSABILITE LIMITEE;ecoles-idrac.com;NON DEFINI;mxb-00934101.gslb.pphosted.com (priorité 10);mxa-00934101.gslb.pphosted.com (priorité 10);;;;;;;
78593659200100;GEOFIT EXPERT;geofit.fr;OUI;geofit-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
48241421600010;LE VOYAGE A NANTES;aucun site;aucun site;;;;;;;;;
48241421600101;LE VOYAGE A NANTES;levoyageanantes.fr;NON DEFINI;mx01.cloud.vadesecure.com (priorité 10);mx04.cloud.vadesecure.com (priorité 10);mx02.cloud.vadesecure.com (priorité 10);mx03.cloud.vadesecure.com (priorité 10);;;;;
30194001100804;FUJITSU TECHNOLOGY SOLUTIONS;aucun site;aucun site;;;;;;;;;
79823301100088;BASIC FIT II;basic-fit.com;OUI;basicfit-com01c.mail.protection.outlook.com (priorité 10);;;;;;;;
79823301100856;BASIC FIT II;aucun site;aucun site;;;;;;;;;
50073189800135;LOW AND CO;aucun site;aucun site;;;;;;;;;
38442547600825;VERT MARINE;aquaretz.fr;OUI;aquaretz-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
79823301100658;BASIC FIT II;basic-fit.com;OUI;basicfit-com01c.mail.protection.outlook.com (priorité 10);;;;;;;;
79823301100682;BASIC FIT II;basic-fit.com;OUI;basicfit-com01c.mail.protection.outlook.com (priorité 10);;;;;;;;
79823301102597;BASIC FIT II;aucun site;aucun site;;;;;;;;;
38835953100067;LNA SANTE;lna-sante.com;NON DEFINI;mxb-0053e902.gslb.pphosted.com (priorité 5);mxa-0053e902.gslb.pphosted.com (priorité 1);;;;;;;
86980028400018;CLINIQUE SOURDILLE;aucun site;aucun site;;;;;;;;;
38164118200047;THALABAULE;aucun site;aucun site;;;;;;;;;
37804750000988;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
37804750000582;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
37804750000152;B & B HOTELS;aucun site;aucun site;;;;;;;;;
37804750002166;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
35154196600021;LA SOURCE;aucun site;aucun site;;;;;;;;;
37804750000343;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
37804750000590;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
37804750000384;B & B HOTELS;hotel-bb.com;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
86880048300034;SA BREVIDIS;aucun site;aucun site;;;;;;;;;
48493869100041;ANTHALDIS;aucun site;aucun site;;;;;;;;;
41091808000020;SIDONAM;aucun site;aucun site;;;;;;;;;
32739828500020;SODICHAR;aucun site;aucun site;;;;;;;;;
42909145700011;CRJ;aucun site;aucun site;;;;;;;;;
35212667600019;AVRIDIS;aucun site;aucun site;;;;;;;;;
51158516800012;SANZ COUERON;coursesu.com;NON DEFINI;ALT3.ASPMX.L.GOOGLE.com (priorité 10);ALT2.ASPMX.L.GOOGLE.com (priorité 5);ALT1.ASPMX.L.GOOGLE.com (priorité 5);ALT4.ASPMX.L.GOOGLE.com (priorité 10);ASPMX.L.GOOGLE.com (priorité 1);;;;
38537604100021;XAVIR;aucun site;aucun site;;;;;;;;;
32434593300018;BRIANDIS;aucun site;aucun site;;;;;;;;;
33290885400042;SODIPOR;aucun site;aucun site;;;;;;;;;
31667403500076;UNIVAL;aucun site;aucun site;;;;;;;;;
50386289800015;LUROKA;aucun site;aucun site;;;;;;;;;
51036795600016;CLEMA;aucun site;aucun site;;;;;;;;;
35386207100027;AVENIR DISTRIBUTION;coursesu.com;NON DEFINI;ALT3.ASPMX.L.GOOGLE.com (priorité 10);ALT2.ASPMX.L.GOOGLE.com (priorité 5);ALT1.ASPMX.L.GOOGLE.com (priorité 5);ALT4.ASPMX.L.GOOGLE.com (priorité 10);ASPMX.L.GOOGLE.com (priorité 1);;;;
35040788800014;GETDIS;aucun site;aucun site;;;;;;;;;
86880120000023;DISTRIBUTION NANTAISE D'ALIMENTATION;aucun site;aucun site;;;;;;;;;
35205040500013;BRIERE DISTRIBUTION;aucun site;aucun site;;;;;;;;;
49335647100018;CJV DISTRIBUTION;aucun site;aucun site;;;;;;;;;
31651454600019;PAYS DE REDON DISTRIBUTION - PRD;pays-de-redon-distribution.com;NON DEFINI;mail.mediaandco.cloud (priorité 5);;;;;;;;
44496339100016;SUPER U;coursesu.com;NON DEFINI;ALT3.ASPMX.L.GOOGLE.com (priorité 10);ALT2.ASPMX.L.GOOGLE.com (priorité 5);ALT1.ASPMX.L.GOOGLE.com (priorité 5);ALT4.ASPMX.L.GOOGLE.com (priorité 10);ASPMX.L.GOOGLE.com (priorité 1);;;;
49310189300011;SG DISTRIBUTION;aucun site;aucun site;;;;;;;;;
34008963000024;VERDIS;coursesu.com;NON DEFINI;ALT3.ASPMX.L.GOOGLE.com (priorité 10);ALT2.ASPMX.L.GOOGLE.com (priorité 5);ALT1.ASPMX.L.GOOGLE.com (priorité 5);ALT4.ASPMX.L.GOOGLE.com (priorité 10);ASPMX.L.GOOGLE.com (priorité 1);;;;
50994953300012;CLABODIS;aucun site;aucun site;;;;;;;;;
39954808000015;PHILDIS;aucun site;aucun site;;;;;;;;;
48207018200035;SAINT-HERBLAIN DISTRIBUTION;aucun site;aucun site;;;;;;;;;
34777438200027;SA BRODIS;aucun site;aucun site;;;;;;;;;
87280108900022;CLISSON DISTRIBUTION;aucun site;aucun site;;;;;;;;;
86980003700036;MCC NANTES FRANCE SAS;mcclabel.com;NON DEFINI;us-smtp-inbound-2.mimecast.com (priorité 10);us-smtp-inbound-1.mimecast.com (priorité 10);;;;;;;
34935552900042;MMP PREMIUM SAS;aucun site;aucun site;;;;;;;;;
85580182500644;GEA REFRIGERATION FRANCE;gea.com;OUI;gea-com.mail.protection.outlook.com (priorité 0);;;;;;;;
48097064900012;CEME-MOREAU;aucun site;aucun site;;;;;;;;;
78837360300208;EIFFAGE ENERGIE SYSTEMES - CLEVIA OUEST;eiffageenergiesystemes.com;NON DEFINI;;;;;;;;;
33533912300028;SOCIETE D'INTERVENTIONS ET REALISATIONS EN BOBINAGE ELECTRICITE ET MECANIQUE;aucun site;aucun site;;;;;;;;;
51889139500015;EXPLORE;explore.fr;OUI;explore-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
72204912900181;EPC FRANCE;aucun site;aucun site;;;;;;;;;
35287365700063;JARDIPLAY;jardiland.com;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
35287365700014;JARDIPLAY;aucun site;aucun site;;;;;;;;;
35287365700030;JARDIPLAY;jardiland.com;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
30887794300768;GAMM VERT SYNERGIES OUEST;gammvert.fr;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
35287365700055;JARDIPLAY;jardiland.com;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
30887794300693;GAMM VERT SYNERGIES OUEST;gammvert.fr;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
35287365700048;JARDIPLAY;jardiland.com;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
30887794300610;GAMM VERT SYNERGIES OUEST;gammvert.fr;NON DEFINI;mxa-0010b102.gslb.pphosted.com (priorité 10);mxb-0010b102.gslb.pphosted.com (priorité 10);;;;;;;
35201683600129;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600053;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600103;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600277;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600111;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600095;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600178;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600160;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600046;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600020;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600269;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600301;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600335;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600202;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600251;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600137;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600061;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600087;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600210;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600244;LABORATOIRE BIOLIANCE;aucun site;aucun site;;;;;;;;;
35201683600228;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
35201683600293;LABORATOIRE BIOLIANCE;bioliance.fr;OUI;vade-mx-fr02.hornetsecurity.com (priorité 10);vade-mx-eu-fallback02.hornetsecurity.com (priorité 20);bioliance-fr.mail.protection.outlook.com (priorité 30);vade-mx-fr01.hornetsecurity.com (priorité 10);vade-mx-eu-fallback01.hornetsecurity.com (priorité 20);;;;
70980395100066;MAZET-MERCIER SAS;aucun site;aucun site;;;;;;;;;
85580216100031;WILLIAMSON TRANSPORTS;aucun site;aucun site;;;;;;;;;
31534812800085;LOCA OUEST TRANSPORTS;groupe-berto.com;OUI;groupeberto-com01e.mail.protection.outlook.com (priorité 10);;;;;;;;
80852918402402;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
80852918402352;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
80852918402329;YVES ROCHER FRANCE;aucun site;aucun site;;;;;;;;;
34209083400637;NEXITY STUDEA;nexity-studea.com;NON DEFINI;mail.nexity-studea.com (priorité 1);;;;;;;;
58212026705121;MINIT FRANCE;aucun site;aucun site;;;;;;;;;
56208198400279;XP FRANCE;aucun site;aucun site;;;;;;;;;
58920057500381;LAFARGE GRANULATS OUEST;lafarge.fr;NON DEFINI;mail.lafarge.fr (priorité 10);;;;;;;;
58920057500449;LAFARGE GRANULATS OUEST;lafarge.fr;NON DEFINI;mail.lafarge.fr (priorité 10);;;;;;;;
80852918402337;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
80852918403582;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
80852918402394;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
80852918402345;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
58920057500332;LAFARGE GRANULATS OUEST;lafarge.fr;NON DEFINI;mail.lafarge.fr (priorité 10);;;;;;;;
80852918403590;YVES ROCHER FRANCE;aucun site;aucun site;;;;;;;;;
58212026704652;MINIT FRANCE;aucun site;aucun site;;;;;;;;;
80852918402378;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
38865898100021;ISAC DISTRIBUTION;aucun site;aucun site;;;;;;;;;
80852918402410;YVES ROCHER FRANCE;yves-rocher.fr;NON DEFINI;mxa-0021d901.gslb.pphosted.com (priorité 10);mxb-0021d901.gslb.pphosted.com (priorité 10);;;;;;;
58920057500407;LAFARGE GRANULATS OUEST;aucun site;aucun site;;;;;;;;;
34209083402005;NEXITY STUDEA;aucun site;aucun site;;;;;;;;;
47568248000375;LINVOSGES;linvosges.com;OUI;linvosges-com.mail.protection.outlook.com (priorité 0);;;;;;;;
99753681800823;MIDAS FRANCE;midas.fr;NON DEFINI;alt1.aspmx.l.google.com (priorité 20);aspmx3.googlemail.com (priorité 30);aspmx2.googlemail.com (priorité 30);aspmx.l.google.com (priorité 10);alt2.aspmx.l.google.com (priorité 20);;;;
